<Event(17-VideoExpose {})>
<Event(1-ActiveEvent {'state': 1, 'gain': 0})>
<Event(1-ActiveEvent {'state': 1, 'gain': 1})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (558, 397), 'rel': (558, 397)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (547, 387), 'rel': (-11, -10)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (541, 380), 'rel': (-6, -7)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (535, 375), 'rel': (-6, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (529, 368), 'rel': (-6, -7)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (522, 362), 'rel': (-7, -6)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (515, 355), 'rel': (-7, -7)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (510, 350), 'rel': (-5, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (504, 345), 'rel': (-6, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (496, 338), 'rel': (-8, -7)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (489, 331), 'rel': (-7, -7)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (482, 326), 'rel': (-7, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (475, 320), 'rel': (-7, -6)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (468, 315), 'rel': (-7, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (461, 310), 'rel': (-7, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (454, 303), 'rel': (-7, -7)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (449, 298), 'rel': (-5, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (442, 293), 'rel': (-7, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (436, 290), 'rel': (-6, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (429, 282), 'rel': (-7, -8)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (420, 279), 'rel': (-9, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (415, 276), 'rel': (-5, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (409, 271), 'rel': (-6, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (402, 266), 'rel': (-7, -5)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (397, 263), 'rel': (-5, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (391, 259), 'rel': (-6, -4)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (384, 256), 'rel': (-7, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (380, 253), 'rel': (-4, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (375, 250), 'rel': (-5, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (371, 247), 'rel': (-4, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (364, 244), 'rel': (-7, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (360, 241), 'rel': (-4, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (355, 238), 'rel': (-5, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (351, 237), 'rel': (-4, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (346, 234), 'rel': (-5, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (344, 232), 'rel': (-2, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (339, 229), 'rel': (-5, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (335, 228), 'rel': (-4, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (330, 226), 'rel': (-5, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (328, 223), 'rel': (-2, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (323, 220), 'rel': (-5, -3)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (321, 220), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (318, 218), 'rel': (-3, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (313, 216), 'rel': (-5, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (311, 215), 'rel': (-2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (308, 213), 'rel': (-3, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (305, 211), 'rel': (-3, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (301, 209), 'rel': (-4, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (299, 209), 'rel': (-2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (298, 207), 'rel': (-1, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (295, 205), 'rel': (-3, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (293, 204), 'rel': (-2, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (290, 202), 'rel': (-3, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (290, 201), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (289, 200), 'rel': (-1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (288, 199), 'rel': (-1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (285, 199), 'rel': (-3, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (285, 198), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (285, 197), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (284, 196), 'rel': (-1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (283, 196), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (283, 194), 'rel': (0, -2)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (282, 194), 'rel': (-1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (282, 193), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (283, 193), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (284, 193), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (285, 193), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (287, 193), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (288, 193), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (289, 193), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (290, 193), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (291, 193), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (292, 193), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (293, 192), 'rel': (1, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (295, 192), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (296, 192), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (297, 192), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (298, 192), 'rel': (1, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (298, 191), 'rel': (0, -1)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (300, 191), 'rel': (2, 0)})>
<Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (302, 191), 'rel': (2, 0)})>
